Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
FLWS,"1-800 FLOWERS.COM, Inc.",6.92,441756870.2,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCTY,"1st Century Bancshares, Inc",6.15,57019866.45,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty
FCCY,1st Constitution Bancorp (NJ),9.53,57095964.46,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,25.83,629385739.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
FUBC,"1st United Bancorp, Inc. (FL)",7.41,254067085,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fubc
VNET,"21Vianet Group, Inc.",12.84,743863995.7,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
JOBS,"51job, Inc.",62.13,1809848888,n/a,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
EGHT,8x8 Inc,8.75,636518400,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",16.68,213293448.4,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",28.64,842328261.9,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",25.64,941891322.8,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ASTM,"Aastrom Biosciences, Inc.",0.38,17352350.02,n/a,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/astm
ABAX,"ABAXIS, Inc.",50.56,1126628480,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABMD,"ABIOMED, Inc.",23.14,902740410.5,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,2.33,216222280.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACTG,Acacia Research Corporation,24.86,1222981286,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",35.23,1777557341,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,18.49,1633866724,n/a,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",3.06,223957691.3,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",8.3,322415234.7,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
ACCL,"Accelrys, Inc.",8.89,496468353,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/accl
ANCX,Access National Corporation,13.79,142046970.2,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,5.72,423942787.8,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",12.23,455412411.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,Aceto Corporation,14.4,394464600,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/acet
